C:\Users\nikku\Desktop\aDA\dataset3\1605.jpg,dataset3\1605.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\1551.jpg,dataset3\1551.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\6906.jpg,dataset3\6906.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\3714.jpg,dataset3\3714.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\5673.jpg,dataset3\5673.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\480.jpg,dataset3\480.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\9829.jpg,dataset3\9829.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\5985.jpg,dataset3\5985.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\1438.jpg,dataset3\1438.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\2368.jpg,dataset3\2368.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\5770.jpg,dataset3\5770.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\2551.jpg,dataset3\2551.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\3446.jpg,dataset3\3446.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\5631.jpg,dataset3\5631.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\1156.jpg,dataset3\1156.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\4567.jpg,dataset3\4567.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\4675.jpg,dataset3\4675.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\8654.jpg,dataset3\8654.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\363.jpg,dataset3\363.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\7967.jpg,dataset3\7967.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\5877.jpg,dataset3\5877.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\2270.jpg,dataset3\2270.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\8101.jpg,dataset3\8101.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\5451.jpg,dataset3\5451.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\8620.jpg,dataset3\8620.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\2968.jpg,dataset3\2968.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\1589.jpg,dataset3\1589.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\7606.jpg,dataset3\7606.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\8881.jpg,dataset3\8881.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\9494.jpg,dataset3\9494.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\1358.jpg,dataset3\1358.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\8485.jpg,dataset3\8485.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\8730.jpg,dataset3\8730.jpg,rose
C:\Users\nikku\Desktop\aDA\dataset3\2477.jpg,dataset3\2477.jpg,rose
